

Inorder traversal of the Parse Tree:

Node                      Token                     ID                        L-Child                   R-Child                  
600                       print_stmt                (null)                    598                       599                      
601                       statement_list            (null)                    597                       600                      
602                       K_PRINT_STRING            (null)                    NULL                      NULL                     
603                       SCONSTANT                 "\nCoarse mesh points 0:" NULL                      NULL                     
604                       print_stmt                (null)                    602                       603                      
605                       statement_list            (null)                    601                       604                      
606                       K_PRINT_INTEGER           (null)                    NULL                      NULL                     
607                       variable                  cm1                       NULL                      NULL                     
608                       print_stmt                (null)                    606                       607                      
609                       statement_list            (null)                    605                       608                      
610                       K_PRINT_STRING            (null)                    NULL                      NULL                     
611                       SCONSTANT                 "\n"                      NULL                      NULL                     
612                       print_stmt                (null)                    610                       611                      
613                       statement_list            (null)                    609                       612                      
615                       variable                  fm1                       NULL                      NULL                     
616                       ICONSTANT                 1                         NULL                      NULL                     
617                       PLUS                      (null)                    615                       616                      
618                       IDENTIFIER                fm                        617                       NULL                     
619                       variable                  fm1                       NULL                      NULL                     
620                       ICONSTANT                 1                         NULL                      NULL                     
621                       PLUS                      (null)                    619                       620                      
622                       IDENTIFIER                frhs                      621                       NULL                     
623                       variable                  fm1                       NULL                      NULL                     
624                       ICONSTANT                 1                         NULL                      NULL                     
625                       PLUS                      (null)                    623                       624                      
626                       IDENTIFIER                fres                      625                       NULL                     
627                       tmp                       (null)                    NULL                      NULL                     
628                       opt_declaration           (null)                    626                       627                      
629                       tmp                       (null)                    NULL                      628                      
630                       opt_declaration           (null)                    622                       629                      
631                       tmp                       (null)                    NULL                      630                      
632                       var_declaration           (null)                    618                       631                      
633                       statement_list            (null)                    613                       632                      
635                       variable                  cm1                       NULL                      NULL                     
636                       ICONSTANT                 1                         NULL                      NULL                     
637                       PLUS                      (null)                    635                       636                      
638                       IDENTIFIER                cm                        637                       NULL                     
639                       variable                  cm1                       NULL                      NULL                     
640                       ICONSTANT                 1                         NULL                      NULL                     
641                       PLUS                      (null)                    639                       640                      
642                       IDENTIFIER                crhs                      641                       NULL                     
643                       tmp                       (null)                    NULL                      NULL                     
